task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
355	c9/c9cb34	1871255	samFlagstatFromBam (2682257)	COMPLETED	0	2021-01-06 11:08:55.884	59.9s	29.4s	100.0%	9.2 MB	169.4 MB	1.2 GB	4.4 KB
283	8b/f9ad4d	1871256	samStatsFromBam (197622)	COMPLETED	0	2021-01-06 11:08:55.924	59.9s	44.9s	100.7%	9.6 MB	169.9 MB	1.1 GB	4.4 KB
358	8f/db55dc	1871259	samStatsFromBam (2431424-2)	COMPLETED	0	2021-01-06 11:08:56.054	59.8s	27.4s	100.4%	9.7 MB	169.9 MB	591 MB	4.4 KB
228	d2/be1099	1871261	coverageMetricsFromBam (1583028-2)	COMPLETED	0	2021-01-06 11:08:56.143	59.7s	50.8s	580.9%	22.9 MB	770.9 MB	7.6 GB	52.7 KB
360	af/96a6da	1871264	samStatsFromBam (2431424)	COMPLETED	0	2021-01-06 11:08:56.267	59.6s	50.7s	100.7%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
286	74/9d4869	1871266	coverageMetricsFromBam (1772988-2)	COMPLETED	0	2021-01-06 11:08:56.360	59.5s	49.4s	514.7%	23.8 MB	773.3 MB	7 GB	21.2 KB
370	c6/e32bc0	1871272	coverageMetricsFromBam (2317538)	COMPLETED	0	2021-01-06 11:08:56.610	59.2s	50.4s	532.9%	20.8 MB	770.3 MB	7.2 GB	21 KB
218	60/c656da	1871253	samStatsFromBam (1622213)	COMPLETED	0	2021-01-06 11:08:55.803	1m 35s	57.6s	102.6%	9.7 MB	169.9 MB	1 GB	4.4 KB
367	f4/fe5fdf	1871267	samStatsFromBam (2518815)	COMPLETED	0	2021-01-06 11:08:56.401	1m 34s	1m 14s	104.9%	9.8 MB	170.1 MB	1.5 GB	4.4 KB
364	8a/671c67	1871270	coverageMetricsFromBam (230259)	COMPLETED	0	2021-01-06 11:08:56.528	1m 34s	49.8s	527.3%	21.4 MB	771 MB	7.5 GB	21.1 KB
287	47/5383d1	1871299	samFlagstatFromBam (2007026-2)	COMPLETED	0	2021-01-06 11:09:56.560	34.2s	21s	100.4%	9.6 MB	169.9 MB	922.9 MB	4.4 KB
384	88/92d91d	1871286	samStatsFromBam (2531964)	COMPLETED	0	2021-01-06 11:09:55.961	1m 15s	54.7s	101.0%	9.3 MB	169.6 MB	1016.5 MB	4.4 KB
389	23/539918	1871288	coverageMetricsFromBam (2518815)	COMPLETED	0	2021-01-06 11:09:56.051	1m 15s	59.5s	513.3%	25.5 MB	771.7 MB	7.2 GB	21.2 KB
388	e8/9343fb	1871291	coverageMetricsFromBam (2485376)	COMPLETED	0	2021-01-06 11:09:56.176	1m 15s	58.2s	544.9%	22.9 MB	770.8 MB	7.6 GB	52.8 KB
373	0e/8f64d3	1871292	coverageMetricsFromBam (2299125)	COMPLETED	0	2021-01-06 11:09:56.221	1m 15s	50.7s	540.3%	30.6 MB	775.9 MB	7.1 GB	55.8 KB
395	86/1378fd	1871295	coverageMetricsFromBam (2531964)	COMPLETED	0	2021-01-06 11:09:56.363	1m 14s	50.5s	568.6%	20.9 MB	770.8 MB	7.2 GB	21.2 KB
393	62/3a60c9	1871297	coverageMetricsFromBam (252514)	COMPLETED	0	2021-01-06 11:09:56.461	1m 14s	53.4s	531.0%	31.4 MB	769.9 MB	7.8 GB	21.1 KB
235	ae/1eda8a	1871300	samStatsFromBam (1678687)	COMPLETED	0	2021-01-06 11:09:56.603	1m 14s	34.7s	100.7%	9.7 MB	169.9 MB	655.3 MB	4.4 KB
397	9c/68eabd	1871301	coverageMetricsFromBam (263339-2)	COMPLETED	0	2021-01-06 11:09:56.653	1m 14s	59.2s	527.4%	21.2 MB	771.1 MB	7.2 GB	21 KB
400	6d/052aff	1871302	coverageMetricsFromBam (263339-3)	COMPLETED	0	2021-01-06 11:09:56.701	1m 14s	57.8s	588.5%	24.8 MB	770.9 MB	7.4 GB	21.1 KB
401	be/5f83ce	1871303	coverageMetricsFromBam (263339)	COMPLETED	0	2021-01-06 11:09:56.744	1m 14s	59.5s	535.3%	25.1 MB	769.9 MB	7.4 GB	21 KB
234	27/2f0b26	1871305	coverageMetricsFromBam (1590536)	COMPLETED	0	2021-01-06 11:09:56.885	1m 14s	51.7s	539.7%	21.5 MB	771.4 MB	7.1 GB	21 KB
4	1a/8230f1	1870963	haplotyperFromBam (1001016)	COMPLETED	0	2021-01-06 11:02:28.424	8m 57s	8m 3s	535.5%	646.1 MB	1.3 GB	14.3 GB	3.4 GB
27	3c/e4cf4c	1871003	haplotyperFromBam (105213)	COMPLETED	0	2021-01-06 11:02:32.980	8m 53s	8m 8s	500.3%	872.3 MB	1.3 GB	17.5 GB	6.8 GB
36	5b/717afb	1871011	haplotyperFromBam (1108134)	COMPLETED	0	2021-01-06 11:02:33.324	8m 52s	8m 21s	533.3%	761 MB	1.3 GB	17 GB	6 GB
74	93/bb7a90	1871021	haplotyperFromBam (1183640)	COMPLETED	0	2021-01-06 11:02:35.040	8m 51s	7m 48s	508.9%	740.5 MB	1.3 GB	17.2 GB	5.5 GB
365	99/8abb46	1871279	samStatsFromBam (2485376)	COMPLETED	0	2021-01-06 11:09:30.772	2m	59.5s	100.5%	9.8 MB	170.1 MB	1.2 GB	4.4 KB
