task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
128	94/a4918b	1871025	coverageMetricsFromBam (1290929-2)	COMPLETED	0	2021-01-06 11:02:35.228	2m 35s	2m 5s	478.8%	27.9 MB	773.9 MB	7.3 GB	21.2 KB
129	7e/2c4da2	1871026	coverageMetricsFromBam (1265385)	COMPLETED	0	2021-01-06 11:02:35.278	2m 35s	2m 18s	449.8%	21.1 MB	770.7 MB	7.3 GB	27.6 KB
133	53/d98d7d	1871027	coverageMetricsFromBam (1302949)	COMPLETED	0	2021-01-06 11:02:35.345	2m 35s	2m 21s	498.6%	23 MB	771.3 MB	7.4 GB	27.6 KB
134	83/c86c17	1871028	coverageMetricsFromBam (1315136)	COMPLETED	0	2021-01-06 11:02:35.393	2m 35s	2m 18s	494.5%	23.9 MB	771.3 MB	7.3 GB	24.4 KB
82	d6/695dac	1871029	samFlagstatFromBam (1224189)	COMPLETED	0	2021-01-06 11:02:35.440	2m 35s	1m 51s	64.1%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
132	8d/b61d30	1871031	coverageMetricsFromBam (1290929)	COMPLETED	0	2021-01-06 11:02:35.524	2m 35s	2m 24s	619.9%	64.6 MB	771.5 MB	6.9 GB	27.5 KB
81	56/fb658d	1871033	samFlagstatFromBam (1216278)	COMPLETED	0	2021-01-06 11:02:35.608	2m 35s	2m 23s	85.3%	9.6 MB	169.9 MB	3.1 GB	4.4 KB
140	25/ed73a2	1871034	coverageMetricsFromBam (1349389)	COMPLETED	0	2021-01-06 11:02:35.655	2m 35s	1m 57s	488.3%	25.2 MB	771.1 MB	7.6 GB	21.2 KB
143	50/f280ca	1871037	coverageMetricsFromBam (1384424)	COMPLETED	0	2021-01-06 11:02:35.785	2m 35s	1m 52s	581.7%	26.6 MB	770.8 MB	7.4 GB	21.2 KB
144	4a/77be9a	1871039	coverageMetricsFromBam (138681)	COMPLETED	0	2021-01-06 11:02:35.885	2m 35s	1m 56s	499.6%	56.6 MB	770.7 MB	7.5 GB	21.2 KB
146	d6/1d76f2	1871040	samFlagstatFromBam (1336335)	COMPLETED	0	2021-01-06 11:02:50.723	2m 20s	2m	67.5%	9.8 MB	170 MB	970.4 MB	4.4 KB
154	d3/def853	1871047	samFlagstatFromBam (138681)	COMPLETED	0	2021-01-06 11:03:35.838	1m 35s	1m 9s	76.0%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
92	66/31258a	1871052	samStatsFromBam (1265385)	COMPLETED	0	2021-01-06 11:03:55.762	1m 15s	1m 2s	100.1%	9.7 MB	169.9 MB	1 GB	4.4 KB
48	17/3b494c	1870975	samStatsFromBam (1115917)	COMPLETED	0	2021-01-06 11:02:29.017	3m 12s	2m 30s	97.6%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
23	fa/83e05a	1870981	samStatsFromBam (1050843)	COMPLETED	0	2021-01-06 11:02:29.311	3m 11s	2m 36s	80.2%	9.2 MB	169.4 MB	923.3 MB	4.4 KB
84	25/6a4abe	1870983	samStatsFromBam (1249268)	COMPLETED	0	2021-01-06 11:02:29.407	3m 11s	2m 34s	63.5%	9.2 MB	169.4 MB	869.8 MB	4.4 KB
51	5a/d7c9e7	1870984	samFlagstatFromBam (1124016)	COMPLETED	0	2021-01-06 11:02:29.459	3m 11s	2m 39s	51.1%	9.5 MB	169.7 MB	1.2 GB	4.4 KB
95	d4/aa72fa	1870988	samStatsFromBam (1302949)	COMPLETED	0	2021-01-06 11:02:29.635	3m 11s	2m 35s	82.9%	9.4 MB	169.6 MB	981.4 MB	4.4 KB
61	ba/dfc711	1870990	samFlagstatFromBam (1199402)	COMPLETED	0	2021-01-06 11:02:29.732	3m 11s	2m 33s	50.2%	9.3 MB	169.6 MB	1 GB	4.4 KB
98	f5/62371b	1870992	samStatsFromBam (1328865)	COMPLETED	0	2021-01-06 11:02:29.832	3m 11s	2m 47s	93.4%	9.1 MB	169.4 MB	1 GB	4.4 KB
126	7b/d70d77	1871019	coverageMetricsFromBam (1259537)	COMPLETED	0	2021-01-06 11:02:34.955	3m 6s	2m 56s	448.2%	43.8 MB	771.3 MB	8.7 GB	27.5 KB
127	0c/e41d2d	1871024	coverageMetricsFromBam (1261884)	COMPLETED	0	2021-01-06 11:02:35.186	3m 6s	2m 31s	476.0%	44.1 MB	770.2 MB	8 GB	45.8 KB
135	61/b60b19	1871030	coverageMetricsFromBam (1328865)	COMPLETED	0	2021-01-06 11:02:35.481	3m 5s	2m 20s	456.8%	24.2 MB	770.8 MB	7.5 GB	48.9 KB
88	3e/6c68bc	1871045	samFlagstatFromBam (1259537)	COMPLETED	0	2021-01-06 11:03:35.740	2m 10s	2m 1s	97.9%	9.7 MB	169.9 MB	2.9 GB	4.4 KB
91	ce/0c027a	1871048	samFlagstatFromBam (1261884)	COMPLETED	0	2021-01-06 11:03:35.887	2m 10s	1m 56s	79.0%	9.8 MB	170.1 MB	1.9 GB	4.4 KB
155	a4/0366ce	1871051	coverageMetricsFromBam (1444853)	COMPLETED	0	2021-01-06 11:03:55.709	1m 50s	1m 37s	503.0%	28.2 MB	770.8 MB	7.4 GB	56.1 KB
94	2b/c941e6	1871055	samFlagstatFromBam (1265385)	COMPLETED	0	2021-01-06 11:03:56.031	1m 50s	1m 22s	56.7%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
163	45/6a56b0	1871056	samStatsFromBam (1494222)	COMPLETED	0	2021-01-06 11:03:56.083	1m 50s	1m 22s	98.5%	9.7 MB	169.9 MB	718.1 MB	4.4 KB
104	82/e55f75	1871058	samStatsFromBam (134807)	COMPLETED	0	2021-01-06 11:04:25.688	1m 20s	1m 6s	100.3%	9.7 MB	169.9 MB	581.5 MB	4.4 KB
164	12/975da2	1871059	samFlagstatFromBam (1444853)	COMPLETED	0	2021-01-06 11:04:25.726	1m 20s	1m 7s	99.8%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
167	06/d56a83	1871061	samFlagstatFromBam (1450980)	COMPLETED	0	2021-01-06 11:04:25.812	1m 20s	53.4s	85.6%	9.7 MB	169.9 MB	1 GB	4.4 KB
170	a7/84ff27	1871063	samFlagstatFromBam (1452943)	COMPLETED	0	2021-01-06 11:04:25.899	1m 20s	48s	68.6%	9.7 MB	169.9 MB	429.5 MB	4.4 KB
71	1b/a00c40	1871066	coverageMetricsFromBam (1124016)	COMPLETED	0	2021-01-06 11:04:26.335	1m 19s	1m 10s	586.1%	21.2 MB	770.1 MB	7.5 GB	21.2 KB
109	ce/a402e2	1871067	coverageMetricsFromBam (1200893)	COMPLETED	0	2021-01-06 11:04:26.390	1m 19s	1m 6s	568.6%	24.6 MB	770.5 MB	7 GB	21 KB
80	c0/2b59cb	1871071	samFlagstatFromBam (1204724)	COMPLETED	0	2021-01-06 11:04:27.866	1m 18s	41.8s	62.0%	9.8 MB	170 MB	97.6 MB	4.4 KB
85	6f/bd097b	1871076	samFlagstatFromBam (124216)	COMPLETED	0	2021-01-06 11:04:28.114	1m 18s	54.5s	78.9%	9.8 MB	170.1 MB	711.1 MB	4.4 KB
53	92/b06da3	1870953	samStatsFromBam (1124016)	COMPLETED	0	2021-01-06 11:02:26.941	3m 34s	3m 22s	100.3%	9.8 MB	170.1 MB	1.4 GB	4.4 KB
65	12/ccb4ad	1870995	samStatsFromBam (1216278)	COMPLETED	0	2021-01-06 11:02:29.965	3m 31s	3m 16s	100.4%	9.6 MB	169.9 MB	3.3 GB	4.4 KB
118	a3/10ba0f	1871015	coverageMetricsFromBam (1216278)	COMPLETED	0	2021-01-06 11:02:33.493	3m 27s	2m 58s	429.0%	154.4 MB	899.3 MB	9.4 GB	27.7 KB
86	24/d2c69e	1871043	samFlagstatFromBam (1249268)	COMPLETED	0	2021-01-06 11:03:35.649	2m 25s	2m 6s	75.6%	9.8 MB	170 MB	939.5 MB	4.4 KB
79	7e/6c1695	1871046	coverageMetricsFromBam (1179669)	COMPLETED	0	2021-01-06 11:03:35.791	2m 25s	2m 16s	500.6%	21.3 MB	771.1 MB	7 GB	21 KB
89	ff/001449	1871049	samStatsFromBam (1261884)	COMPLETED	0	2021-01-06 11:03:35.930	2m 25s	2m 16s	100.5%	9.8 MB	170 MB	2.1 GB	4.4 KB
100	82/7481e8	1871054	samStatsFromBam (1336335)	COMPLETED	0	2021-01-06 11:03:55.980	2m 5s	1m 54s	100.5%	9.8 MB	170.1 MB	989.4 MB	4.4 KB
97	b0/039973	1871057	samStatsFromBam (1315136)	COMPLETED	0	2021-01-06 11:04:25.641	1m 35s	1m 27s	100.5%	9.7 MB	169.9 MB	926.4 MB	4.4 KB
162	22/77dfa3	1871062	samStatsFromBam (1452943)	COMPLETED	0	2021-01-06 11:04:25.856	1m 35s	1m 14s	91.6%	9.7 MB	169.9 MB	423.6 MB	4.4 KB
76	b7/da71e0	1871072	coverageMetricsFromBam (1163315)	COMPLETED	0	2021-01-06 11:04:27.918	1m 33s	1m 14s	552.0%	24.6 MB	770.1 MB	8 GB	42.6 KB
142	21/43ee80	1871075	samFlagstatFromBam (1328865)	COMPLETED	0	2021-01-06 11:04:28.066	1m 33s	1m 8s	67.5%	9.6 MB	169.9 MB	1 GB	4.4 KB
153	e0/28ba4a	1871083	samFlagstatFromBam (1384424)	COMPLETED	0	2021-01-06 11:05:11.325	49.4s	30.5s	96.5%	9.7 MB	169.9 MB	925.8 MB	4.4 KB
159	b6/287d45	1871084	samFlagstatFromBam (1429902)	COMPLETED	0	2021-01-06 11:05:11.375	49.3s	27.6s	98.6%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
206	4c/5c7596	1871104	samFlagstatFromBam (1656670)	COMPLETED	0	2021-01-06 11:05:14.456	46.3s	27.1s	61.0%	9.8 MB	170.1 MB	424.7 MB	4.4 KB
87	b3/22ea11	1871042	samStatsFromBam (1259537)	COMPLETED	0	2021-01-06 11:03:00.601	3m 25s	3m 15s	105.0%	9.8 MB	170.1 MB	3 GB	4.4 KB
55	15/8cef0c	1870954	samStatsFromBam (1163315)	COMPLETED	0	2021-01-06 11:02:26.999	4m 4s	3m 41s	100.1%	9.8 MB	170.1 MB	1.5 GB	4.4 KB
147	e7/b4a59f	1871044	samFlagstatFromBam (1337787)	COMPLETED	0	2021-01-06 11:03:35.690	2m 55s	2m 21s	79.1%	9.8 MB	170 MB	1.3 GB	4.4 KB
59	3c/52977e	1871053	samStatsFromBam (1179669)	COMPLETED	0	2021-01-06 11:03:55.818	2m 35s	1m 55s	100.8%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
114	23/515f2d	1871065	samStatsFromBam (1384424)	COMPLETED	0	2021-01-06 11:04:26.282	2m 4s	1m 50s	100.3%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
83	41/a47143	1871073	coverageMetricsFromBam (1183640)	COMPLETED	0	2021-01-06 11:04:27.966	2m 3s	1m 24s	504.0%	44.5 MB	772.6 MB	7.2 GB	48.1 KB
179	75/df8b9d	1871077	coverageMetricsFromBam (1502006)	COMPLETED	0	2021-01-06 11:04:30.634	2m	1m 39s	496.3%	51.8 MB	769.9 MB	7.3 GB	21 KB
138	32/a8014d	1871079	samFlagstatFromBam (1302949)	COMPLETED	0	2021-01-06 11:05:00.672	1m 30s	48.7s	100.4%	9.7 MB	169.9 MB	920.4 MB	4.4 KB
187	da/cee48e	1871080	samFlagstatFromBam (157134)	COMPLETED	0	2021-01-06 11:05:11.097	1m 20s	52.2s	101.6%	9.7 MB	169.9 MB	876.5 MB	4.4 KB
151	43/e36d10	1871082	samFlagstatFromBam (1349389)	COMPLETED	0	2021-01-06 11:05:11.273	1m 19s	51.7s	100.7%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
90	4c/214551	1871085	samStatsFromBam (1290929-2)	COMPLETED	0	2021-01-06 11:05:11.427	1m 19s	49.4s	101.1%	9.7 MB	169.9 MB	866.1 MB	4.4 KB
188	2a/6bfe99	1871087	samFlagstatFromBam (1571892)	COMPLETED	0	2021-01-06 11:05:12.484	1m 18s	36.2s	49.5%	9.3 MB	169.6 MB	345.5 MB	4.4 KB
191	49/3babdf	1871088	samFlagstatFromBam (158079)	COMPLETED	0	2021-01-06 11:05:12.532	1m 18s	42.1s	70.1%	9.4 MB	169.7 MB	843 MB	4.4 KB
99	c2/c359a6	1871090	samFlagstatFromBam (1290929)	COMPLETED	0	2021-01-06 11:05:12.626	1m 18s	49.5s	99.9%	9.4 MB	169.7 MB	1 GB	4.4 KB
96	28/525d04	1871091	samFlagstatFromBam (1290929-2)	COMPLETED	0	2021-01-06 11:05:12.672	1m 18s	43.2s	78.0%	9.4 MB	169.7 MB	925.7 MB	4.4 KB
193	fc/27ba11	1871093	samFlagstatFromBam (1583028)	COMPLETED	0	2021-01-06 11:05:12.797	1m 18s	43s	75.4%	9.7 MB	169.9 MB	834.5 MB	4.4 KB
194	3c/546bd9	1871095	samStatsFromBam (1571892)	COMPLETED	0	2021-01-06 11:05:12.891	1m 18s	43.3s	99.7%	9.7 MB	169.9 MB	543.5 MB	4.4 KB
196	0c/e03173	1871097	samFlagstatFromBam (1590536)	COMPLETED	0	2021-01-06 11:05:14.118	1m 17s	49.4s	100.0%	9.6 MB	169.9 MB	1 GB	4.4 KB
198	96/e3f41c	1871100	samFlagstatFromBam (1609436)	COMPLETED	0	2021-01-06 11:05:14.265	1m 16s	48.9s	100.9%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
203	25/65bf4d	1871106	samStatsFromBam (158079)	COMPLETED	0	2021-01-06 11:05:15.542	1m 15s	52.2s	101.6%	9.8 MB	170.1 MB	849.9 MB	4.4 KB
197	25/c98128	1871108	samStatsFromBam (1572274)	COMPLETED	0	2021-01-06 11:05:15.635	1m 15s	46.1s	100.6%	9.8 MB	170 MB	651.4 MB	4.4 KB
117	16/5a9482	1871111	samStatsFromBam (1408508)	COMPLETED	0	2021-01-06 11:05:15.789	1m 15s	34.4s	100.2%	9.7 MB	169.9 MB	659.5 MB	4.4 KB
219	7c/d64257	1871117	samStatsFromBam (1629199)	COMPLETED	0	2021-01-06 11:05:41.301	49.4s	31.9s	100.4%	9.7 MB	169.9 MB	481.9 MB	4.4 KB
225	36/865fef	1871122	samStatsFromBam (1656670)	COMPLETED	0	2021-01-06 11:05:41.531	49.2s	27.7s	100.1%	9.7 MB	169.9 MB	452 MB	4.4 KB
236	39/0b5b52	1871132	samFlagstatFromBam (1678196)	COMPLETED	0	2021-01-06 11:05:47.825	50.1s	17.4s	101.0%	9.7 MB	169.9 MB	710.7 MB	4.4 KB
120	0f/6eee2f	1871070	coverageMetricsFromBam (1224189)	COMPLETED	0	2021-01-06 11:04:27.354	2m 13s	1m 53s	541.4%	27.5 MB	769.9 MB	7.7 GB	42.6 KB
160	6f/d84214	1871086	coverageMetricsFromBam (1450980)	COMPLETED	0	2021-01-06 11:05:11.468	1m 29s	1m 5s	540.6%	22.9 MB	770.7 MB	7.4 GB	21.2 KB
93	20/2d1f24	1871089	samStatsFromBam (1290929)	COMPLETED	0	2021-01-06 11:05:12.581	1m 28s	1m 11s	100.4%	9.4 MB	169.7 MB	1.1 GB	4.4 KB
161	39/5cc2c0	1871096	samStatsFromBam (1450980)	COMPLETED	0	2021-01-06 11:05:12.940	1m 28s	1m 9s	100.8%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
207	53/75b436	1871107	samStatsFromBam (1590536)	COMPLETED	0	2021-01-06 11:05:15.592	1m 25s	1m 8s	101.8%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
113	9f/f31992	1871109	coverageMetricsFromBam (1204724)	COMPLETED	0	2021-01-06 11:05:15.686	1m 25s	1m 13s	503.2%	24.5 MB	774.4 MB	6.4 GB	21 KB
152	bd/59964c	1871143	samFlagstatFromBam (134807)	COMPLETED	0	2021-01-06 11:06:01.370	39.3s	15.7s	64.6%	9.7 MB	169.9 MB	429.5 MB	4.4 KB
256	a1/3cb0d8	1871150	samFlagstatFromBam (1754016)	COMPLETED	0	2021-01-06 11:06:02.795	37.9s	20.5s	93.3%	9.7 MB	169.9 MB	854.7 MB	4.4 KB
166	e0/100c70	1871098	samStatsFromBam (156127)	COMPLETED	0	2021-01-06 11:05:14.168	1m 56s	1m 23s	101.0%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
168	6f/9ebf5b	1871101	samStatsFromBam (1524801)	COMPLETED	0	2021-01-06 11:05:14.313	1m 56s	1m 24s	103.0%	9.8 MB	170.1 MB	1.4 GB	4.4 KB
123	76/2226fd	1871115	coverageMetricsFromBam (1249268)	COMPLETED	0	2021-01-06 11:05:41.210	1m 29s	59.3s	543.9%	49.6 MB	773.6 MB	6.9 GB	21 KB
174	fb/01a86d	1871119	coverageMetricsFromBam (1452943)	COMPLETED	0	2021-01-06 11:05:41.397	1m 29s	53.5s	518.5%	28.4 MB	778 MB	6.7 GB	21.1 KB
222	aa/fe09f5	1871120	coverageMetricsFromBam (1572274)	COMPLETED	0	2021-01-06 11:05:41.443	1m 29s	59.3s	508.1%	22.7 MB	771.6 MB	7.1 GB	42.3 KB
180	9f/d61026	1871127	samFlagstatFromBam (1524801)	COMPLETED	0	2021-01-06 11:05:47.598	1m 23s	38.4s	100.7%	9.7 MB	169.9 MB	1.4 GB	4.4 KB
231	12/a1e9bb	1871131	samStatsFromBam (1678196)	COMPLETED	0	2021-01-06 11:05:47.784	1m 23s	40.1s	102.8%	9.7 MB	169.9 MB	700.6 MB	4.4 KB
237	fd/6c73c2	1871133	coverageMetricsFromBam (1609436)	COMPLETED	0	2021-01-06 11:05:48.854	1m 22s	53.3s	509.3%	20.8 MB	770.6 MB	7.1 GB	21 KB
243	c4/3403cf	1871139	coverageMetricsFromBam (1656670)	COMPLETED	0	2021-01-06 11:06:01.175	1m 10s	52.9s	605.5%	36.1 MB	779.4 MB	6.4 GB	21.1 KB
157	16/e0a4f0	1871141	samFlagstatFromBam (1421184)	COMPLETED	0	2021-01-06 11:06:01.274	1m 9s	36.6s	100.1%	9.7 MB	169.9 MB	1.5 GB	4.4 KB
149	30/efdc7c	1871142	coverageMetricsFromBam (1421184)	COMPLETED	0	2021-01-06 11:06:01.319	1m 9s	50s	514.5%	32.2 MB	781.2 MB	6.4 GB	41.8 KB
249	9f/b9901e	1871144	samFlagstatFromBam (1687117)	COMPLETED	0	2021-01-06 11:06:02.436	1m 8s	21.7s	98.3%	9.6 MB	169.9 MB	920.4 MB	4.4 KB
246	0c/cbe1ba	1871145	coverageMetricsFromBam (1678196)	COMPLETED	0	2021-01-06 11:06:02.530	1m 8s	51.5s	522.8%	28.2 MB	775.8 MB	6.7 GB	21 KB
248	15/ca51de	1871147	coverageMetricsFromBam (1687117)	COMPLETED	0	2021-01-06 11:06:02.665	1m 8s	54.1s	543.9%	24.9 MB	774.1 MB	7.1 GB	42.2 KB
250	5b/4394f8	1871148	samFlagstatFromBam (1702488)	COMPLETED	0	2021-01-06 11:06:02.706	1m 8s	23.3s	100.3%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
192	0a/7a6f17	1871153	samFlagstatFromBam (1583028-2)	COMPLETED	0	2021-01-06 11:06:26.319	44.4s	23.4s	100.0%	9.8 MB	170.1 MB	1016.7 MB	4.4 KB
205	77/cec0aa	1871159	samFlagstatFromBam (1629199)	COMPLETED	0	2021-01-06 11:06:30.982	39.8s	13s	100.1%	9.7 MB	169.9 MB	516 MB	4.4 KB
264	bf/8bb259	1871160	samFlagstatFromBam (188557)	COMPLETED	0	2021-01-06 11:06:31.032	39.7s	21.6s	99.9%	9.7 MB	169.9 MB	719.3 MB	33.9 KB
266	fe/094aa3	1871166	samFlagstatFromBam (194442)	COMPLETED	0	2021-01-06 11:06:32.353	38.4s	16.7s	100.5%	9.7 MB	169.9 MB	873.5 MB	4.4 KB
217	48/2d581e	1871172	samFlagstatFromBam (1667934)	COMPLETED	0	2021-01-06 11:06:32.639	38.1s	22s	91.5%	9.7 MB	169.9 MB	1 GB	4.4 KB
277	a5/fc28a1	1871176	samFlagstatFromBam (197622)	COMPLETED	0	2021-01-06 11:06:33.923	36.8s	22.8s	87.5%	9.8 MB	170 MB	1 GB	4.4 KB
226	26/29c344	1871125	coverageMetricsFromBam (158079)	COMPLETED	0	2021-01-06 11:05:47.504	1m 48s	52.6s	502.1%	29.4 MB	772.6 MB	7.2 GB	62.2 KB
137	90/769d6e	1871126	coverageMetricsFromBam (1337787)	COMPLETED	0	2021-01-06 11:05:47.551	1m 48s	1m 11s	501.1%	21.4 MB	770.3 MB	7.4 GB	21.2 KB
229	08/05145d	1871128	samStatsFromBam (1667934)	COMPLETED	0	2021-01-06 11:05:47.646	1m 48s	1m 11s	102.0%	9.7 MB	169.9 MB	1 GB	4.4 KB
233	36/d83089	1871129	coverageMetricsFromBam (1583028)	COMPLETED	0	2021-01-06 11:05:47.695	1m 48s	1m 16s	502.4%	34.2 MB	771.9 MB	7.1 GB	21.2 KB
136	01/2a3454	1871130	coverageMetricsFromBam (1336335)	COMPLETED	0	2021-01-06 11:05:47.740	1m 48s	52.5s	531.6%	24.4 MB	772 MB	7.3 GB	42.5 KB
182	d9/8cdd60	1871134	coverageMetricsFromBam (156127)	COMPLETED	0	2021-01-06 11:05:48.904	1m 47s	58.2s	554.0%	20.7 MB	770.1 MB	7.4 GB	21.1 KB
242	56/5f6e25	1871135	coverageMetricsFromBam (1629199)	COMPLETED	0	2021-01-06 11:05:48.953	1m 47s	55.8s	562.8%	26.1 MB	774.4 MB	6.9 GB	21.1 KB
238	9b/760b67	1871136	coverageMetricsFromBam (1613490)	COMPLETED	0	2021-01-06 11:05:49.253	1m 47s	56.7s	566.7%	25.4 MB	773.6 MB	6.3 GB	21 KB
150	7c/182415	1871137	samStatsFromBam (1429902)	COMPLETED	0	2021-01-06 11:06:01.066	1m 35s	1m 2s	101.7%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
148	eb/c7bad9	1871138	coverageMetricsFromBam (1429902)	COMPLETED	0	2021-01-06 11:06:01.126	1m 35s	60s	537.8%	21.2 MB	771.1 MB	7 GB	21 KB
244	aa/137082	1871140	coverageMetricsFromBam (1667934)	COMPLETED	0	2021-01-06 11:06:01.227	1m 35s	58.4s	534.0%	20.5 MB	770.4 MB	7.6 GB	42.3 KB
158	39/784596	1871146	samStatsFromBam (1444853)	COMPLETED	0	2021-01-06 11:06:02.615	1m 33s	57.4s	100.7%	9.7 MB	169.9 MB	1.1 GB	5.4 KB
200	62/037a99	1871155	samFlagstatFromBam (1613490)	COMPLETED	0	2021-01-06 11:06:30.804	1m 5s	28.8s	70.5%	9.7 MB	169.9 MB	453.4 MB	4.4 KB
258	b8/11505c	1871156	samFlagstatFromBam (1772988-2)	COMPLETED	0	2021-01-06 11:06:30.850	1m 5s	38.8s	100.0%	9.7 MB	169.9 MB	964.1 MB	4.4 KB
259	cb/c62684	1871157	samFlagstatFromBam (1772988)	COMPLETED	0	2021-01-06 11:06:30.898	1m 5s	37s	98.0%	9.7 MB	169.9 MB	722.3 MB	4.4 KB
209	03/9911cf	1871163	samStatsFromBam (1583028)	COMPLETED	0	2021-01-06 11:06:31.204	1m 5s	46.3s	100.3%	9.7 MB	169.9 MB	865.6 MB	4.4 KB
215	1e/e03d13	1871170	samStatsFromBam (1613490)	COMPLETED	0	2021-01-06 11:06:32.544	1m 3s	27.8s	100.3%	9.7 MB	169.9 MB	515.1 MB	4.4 KB
276	a4/d37923	1871173	samStatsFromBam (188557)	COMPLETED	0	2021-01-06 11:06:32.687	1m 3s	48.5s	102.2%	9.7 MB	169.9 MB	934.7 MB	4.4 KB
171	e9/4490ee	1871177	samStatsFromBam (1568832)	COMPLETED	0	2021-01-06 11:06:38.051	57.9s	41.6s	100.1%	9.8 MB	170 MB	802.5 MB	4.4 KB
282	9e/473652	1871179	samFlagstatFromBam (1982496)	COMPLETED	0	2021-01-06 11:06:40.851	55.1s	17.6s	96.7%	9.7 MB	169.9 MB	740.3 MB	4.4 KB
176	64/acf784	1871182	samFlagstatFromBam (1502006)	COMPLETED	0	2021-01-06 11:06:42.360	53.6s	27.3s	100.2%	9.8 MB	170.1 MB	1.3 GB	4.4 KB
285	41/ea134e	1871185	samFlagstatFromBam (1992931)	COMPLETED	0	2021-01-06 11:06:42.503	53.4s	18s	98.1%	9.8 MB	170.1 MB	790.4 MB	4.4 KB
130	7f/adc3d1	1871121	samStatsFromBam (1421184)	COMPLETED	0	2021-01-06 11:05:41.489	2m 29s	1m 47s	100.7%	9.5 MB	169.7 MB	1.7 GB	4.4 KB
165	7a/45681e	1871154	samStatsFromBam (1502006)	COMPLETED	0	2021-01-06 11:06:30.758	1m 40s	1m 18s	111.9%	9.8 MB	170.1 MB	1.2 GB	4.4 KB
260	2d/bfacf5	1871158	samStatsFromBam (1754016)	COMPLETED	0	2021-01-06 11:06:30.946	1m 40s	1m 9s	110.7%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
265	1b/bd723a	1871161	samStatsFromBam (1772988-2)	COMPLETED	0	2021-01-06 11:06:31.101	1m 40s	52.5s	100.9%	9.7 MB	169.9 MB	945.4 MB	4.4 KB
212	de/574731	1871164	samStatsFromBam (1609436)	COMPLETED	0	2021-01-06 11:06:32.257	1m 38s	1m 4s	100.8%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
269	1b/b9f2e8	1871167	samStatsFromBam (1797924)	COMPLETED	0	2021-01-06 11:06:32.398	1m 38s	1m 1s	102.1%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
273	ca/dbe2cb	1871171	samStatsFromBam (1806071)	COMPLETED	0	2021-01-06 11:06:32.594	1m 38s	53.1s	101.4%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
177	e1/84b313	1871180	coverageMetricsFromBam (1494222)	COMPLETED	0	2021-01-06 11:06:40.892	1m 30s	50.5s	533.1%	23.3 MB	772.9 MB	7.2 GB	42.3 KB
178	37/4c62da	1871183	samStatsFromBam (157134)	COMPLETED	0	2021-01-06 11:06:42.410	1m 28s	54.4s	101.2%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
292	6a/2aa957	1871192	samFlagstatFromBam (2007026-3)	COMPLETED	0	2021-01-06 11:07:11.229	59.5s	18.1s	89.0%	9.7 MB	169.9 MB	859.8 MB	4.4 KB
185	6a/373ae4	1871197	samFlagstatFromBam (156127)	COMPLETED	0	2021-01-06 11:07:12.561	58.2s	22.5s	102.4%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
184	65/92c5ed	1871200	samFlagstatFromBam (1568832)	COMPLETED	0	2021-01-06 11:07:12.676	58.1s	18.4s	100.1%	9.8 MB	170.1 MB	788.5 MB	4.4 KB
302	c9/427996	1871201	samFlagstatFromBam (2024476)	COMPLETED	0	2021-01-06 11:07:12.720	58s	22.7s	100.1%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
307	6d/4f7bca	1871205	samFlagstatFromBam (2102589)	COMPLETED	0	2021-01-06 11:07:14.167	56.6s	21.3s	100.1%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
190	6d/77e43c	1871216	samFlagstatFromBam (1572274)	COMPLETED	0	2021-01-06 11:07:37.412	33.3s	14.3s	85.3%	9.8 MB	170.1 MB	489.5 MB	4.4 KB
252	37/443238	1871224	samFlagstatFromBam (1729741)	COMPLETED	0	2021-01-06 11:07:38.743	32s	12.9s	79.9%	9.8 MB	170 MB	504.5 MB	4.4 KB
288	1f/4e98fb	1871186	samStatsFromBam (1982496)	COMPLETED	0	2021-01-06 11:07:10.931	1m 10s	46.9s	101.5%	9.7 MB	169.9 MB	828.8 MB	4.4 KB
291	a3/034f5e	1871189	samStatsFromBam (1992931)	COMPLETED	0	2021-01-06 11:07:11.085	1m 10s	46.5s	100.5%	9.7 MB	169.9 MB	907.6 MB	4.4 KB
